Test Case,Avg Dispersion,Avg Distance to Goal,Avg Clustering Coefficient,Num Flocks
test_baseline,59.98664064714101,102.75557059022194,0.999053416589773,1
test_baseline,62.567954073031586,100.4040986470844,0.9990542307852004,1
test_baseline,63.648633401572056,305.5423377539531,0.9990447237492401,1
test_baseline,62.34002078694275,93.86358035566562,0.9990529474335492,1
test_baseline,60.70706544981908,266.6359748533907,0.9990490558813453,1
test_000,127.06780840713827,6683.813606383783,0.9906735443497943,2
test_000,74.09331825984796,6697.857300071427,0.9980485756177906,3
test_000,71.01794335503828,6640.562092159707,0.9963709259519185,2
test_000,57.315952754837795,6476.725894035173,0.9980239595572086,1
test_000,63.510667836888,6694.519511175219,0.9985443286987976,2
test_001,53.42801160218871,3263.015974269563,0.9939934845575542,1
test_001,129.63556612030303,3283.6396518443653,0.9701500558714357,3
test_001,44.52823841069727,4301.259697752815,0.9963053797035498,1
test_001,46.808815141517904,2695.7631374894604,0.9967815671866027,1
test_001,51.77325857491365,6572.968088032076,0.99721105659322,2
test_002,480.72667066586274,4921.376223025885,0.8459136788275982,2
test_002,59.908630632057466,6629.753091339854,0.998421027916177,2
test_002,152.11894043848724,6697.857706449201,0.9884872153640861,2
test_002,74.84579937510689,6527.665430400468,0.99722887896542,2
test_002,65.17979341838992,6616.837017025109,0.99836002643572,1
test_003,824.1852272832233,6040.296363790972,0.7556522112081657,3
test_003,61.661134011141584,6388.6255247597965,0.99783687226174,1
test_003,110.44160600878757,6430.1768026552945,0.9896391605548432,2
test_003,345.544875478086,5726.161208987265,0.9238629596457711,2
test_003,51.5515510960141,6448.401765679521,0.9981437828158832,1
test_004,68.25699871313155,7102.611558264053,0.9978557927110249,2
test_004,109.310579150513,7304.786736638431,0.9931253746673538,2
test_004,119.92156164876386,7321.637577145685,0.9904230562716542,2
test_004,51.560452061922945,7078.515100187343,0.9979414365366851,1
test_004,58.17322801769618,7102.755044175033,0.9979696828314664,3
test_005,44.03698638596463,1729.2283491040107,0.993449296496494,1
test_005,221.9389357539672,6537.384386398292,0.9654057137223386,2
test_005,259.81763456719807,7121.209091135344,0.9627332741404622,2
test_005,272.7390682733107,3997.4984686248586,0.8875059344472599,2
test_005,210.41286026642982,7127.36188478908,0.9725792538365237,2
test_006,64.10993499228249,7302.4666326363185,0.9984918471754555,1
test_006,184.92069563757607,7354.936507709083,0.9837566500200041,2
test_006,131.8674637418235,7365.3494674990325,0.9895343987218435,2
test_006,216.88596575668564,7351.448994930001,0.9747918453518324,2
test_006,61.05530958836044,7340.195896373453,0.9986881630062575,1
test_007,754.7733571228383,6532.242990452459,0.809161490607035,2
test_007,850.363042737265,6530.14368054295,0.7813072372469065,2
test_007,574.8206063133704,6681.507862552212,0.874892952030945,2
test_007,650.1001680587397,6737.439315738327,0.8546085164875922,2
test_007,974.6010821435032,6512.142992184899,0.7214692135814863,2
test_008,56.88258099440265,6549.65478094329,0.9983508882279146,1
test_008,106.65496875511015,4063.033149990617,0.968633718680878,4
test_008,529.8295022462283,5405.487791352494,0.83426252780619,2
test_008,297.25466487302253,4102.960785140028,0.9256773012562579,2
test_008,36.8912292245513,2428.649258606943,0.9974810593647871,1
test_009,42.67549667066875,6179.445736145509,0.9979293789204912,1
test_009,44.686392735677224,6066.3070790641505,0.9980405568446725,1
test_009,97.54679471124929,3588.3656747749424,0.9814633099209167,2
test_009,41.94337933404085,6162.345107842345,0.9980337165110093,1
test_009,40.60644909673397,6163.528610417908,0.9980951601404335,1
test_010,541.3461831734971,6561.488884774271,0.9183783586609476,2
test_010,401.9588395292176,6657.872898113267,0.9495760635653513,2
test_010,175.29052371772812,6721.253754964931,0.9846587532933527,2
test_010,157.36171984603322,6697.781873542199,0.9864836146880996,2
test_010,450.21087503513894,4662.10741648182,0.838432962577136,3
test_011,47.82348235029684,6030.888269841721,0.9983887096048892,1
test_011,391.15091055791623,3687.7379202391858,0.8072685869240844,3
test_011,60.968498332209506,1190.9615146516392,0.9907578844985958,1
test_011,188.0836076050893,5450.458336648297,0.9438701294906161,2
test_011,46.773138747252965,6035.120286762108,0.9984559110515128,1
test_012,37.875844306397,4133.962669890819,0.9975189406648738,1
test_012,35.992675003107564,2916.319716286274,0.9972998421606737,1
test_012,560.1367558785381,5778.553535124107,0.8902119090343856,2
test_012,42.76847719395031,5000.16036148074,0.9959965070116394,1
test_012,40.845954871562,2139.980947451318,0.9967278513521516,1
test_013,217.22431415522664,3381.972254846117,0.8904133486593124,2
test_013,44.26736772892335,6149.788194885648,0.9982046602219119,1
test_013,45.25633194621404,3750.036909609745,0.9975542033625556,1
test_013,428.65994577120796,4928.279708018978,0.8286442898268439,2
test_013,52.70151498299351,3262.271460634588,0.9962252026044403,1
test_014,35.6163936804612,3031.627747081735,0.9973133341160089,1
test_014,35.0419942148499,3047.1011257284576,0.9973969166239323,1
test_014,73.25935662676898,3048.072025589648,0.9800440501592288,2
test_014,43.28047948411596,3812.5553122575534,0.9968363189705851,1
test_014,37.16154110382536,2691.4542822686403,0.9972966181919983,1
test_015,56.76842140500771,2184.8452673034835,0.9952365789221507,2
test_015,64.68155457073213,2553.12435042956,0.9803256974002856,2
test_015,365.1983031022346,5781.273738362767,0.9050435213896267,2
test_015,47.22823311086209,1486.3115285028782,0.9975415238850482,1
test_015,63.88213188949923,6612.1876706681805,0.9978866473406496,1
test_016,66.79250019109979,7933.519605131323,0.9979173288696475,3
test_016,59.90180179315871,7823.972922570915,0.9969750721977123,3
test_016,99.71876981324984,4488.744763613343,0.9748326740546822,2
test_016,485.7331890956211,7052.761863007726,0.9042253248238615,3
test_016,57.37720503383291,7850.718205852981,0.9979970865013104,2
test_017,743.8674463564782,6544.331226043195,0.7875123324646495,3
test_017,696.3559643536904,5027.631187682578,0.8088837931784963,5
test_017,395.45009981699417,4617.834767785246,0.9173518339594542,3
test_017,58.89537133033116,3863.7425233833337,0.9924117487310332,2
test_017,45.13839977365881,7915.38836909335,0.9980521907623013,1
test_018,57.94973288348224,7870.1408441153835,0.9980999003419755,1
test_018,628.3880663530814,6707.425096329036,0.8072995881467496,3
test_018,120.94658935911684,8098.948849988353,0.9911197051422713,2
test_018,204.4295010860288,7584.384950521134,0.9574332185278964,3
test_018,88.2003828658407,8041.961558182115,0.9953947834359842,2
test_019,118.2346361687167,6536.434435225862,0.9768360549753234,2
test_019,268.79646994129547,3656.2173130406363,0.8153449926251157,6
test_019,46.14629113562631,4591.765739795339,0.9904224756753066,1
test_019,215.08361296909624,3458.5441894056653,0.8488460886480877,9
test_019,93.28727026771561,4560.321517753735,0.9657340825194414,2
test_020,697.8103302780304,7797.128890321315,0.8318028507780852,7
